rank,dramas,votes,per,date,time
1,Sut Khaen Saen Ruk,718429,0.3135,2022-08-13,17:30
2,Love Destiny,454915,0.1985,2022-08-13,17:30
3,Plerng Boon,190776,0.0833,2022-08-13,17:30
4,4 Huajai Haeng Koon Kao,186709,0.0815,2022-08-13,17:30
5,Waves of Life,83361,0.0364,2022-08-13,17:30
6,Tarm Ruk Keun Jai,57832,0.0252,2022-08-13,17:30
7,Suparburoot Jutathep,57457,0.0251,2022-08-13,17:30
8,Game Sanaeha,50298,0.022,2022-08-13,17:30
9,Tong Neu Gao,46376,0.0202,2022-08-13,17:30
10,Samee Tee Tra,42805,0.0187,2022-08-13,17:30
11,My Husband in-Law,42231,0.0184,2022-08-13,17:30
12,Thong Ek: The Herbal Master,41726,0.0182,2022-08-13,17:30
13,When A Man Loves A Woman,41721,0.0182,2022-08-13,17:30
14,Padiwarada,41328,0.018,2022-08-13,17:30
15,Tra Barb See Chompoo,40581,0.0177,2022-08-13,17:30
16,Krong Karm,40268,0.0176,2022-08-13,17:30
17,Nakee,39241,0.0171,2022-08-13,17:30
18,Yah Leum Chan,38784,0.0169,2022-08-13,17:30
19,Raeng Ngao,38461,0.0168,2022-08-13,17:30
20,Sawan Biang,38012,0.0166,2022-08-13,17:30
